name,affil,last
Victor See,University of Exeter,See
Sert Sefa,,Sefa
Yutong Shan,CfA,Shan
Alexander Shapiro,Max-Planck-Institute for Solar System Research,Shapiro
In-Gu Shin,Harvard-Smithsonian Center for Astrophysic,Shin
Evgenya Shkolnik,Arizona State University,Shkolnik
Avi Shporer,MIT,Shporer
Alison Sills,McMaster University,Sills
Steven M. Silverberg,University of Oklahoma,Silverberg
Michele Silverstein,Georgia State University,Silverstein
Julie N. Skinner,Boston University,Skinner
Rodolfo Smiljanic,CAMK/Poland,Smiljanic
Kimberly Sokal,University of Texas at Austin,Sokal
Sami Solanki,Max Planck Institute for Solar System Research,Solanki
Garrett Somers,Vanderbilt University,Somers
Caroline Soubiran,Laboratoire d'astrophysique de Bordeaux,Soubiran
Diogo Souto,,Souto
Kelli Spangler,Montgomery County Community College,Spangler
Daniel Spicer,TST Systems,Spicer
Karl Stapelfeldt,JPL,Stapelfeldt
John Stauffer,Caltech/IPAC,Stauffer
Denise Stephens,Brigham Young University,Stephens
Giovanni M Strampelli,Space Telescope Science Institute,Strampelli
Klaus Strassmeier,AIP,Strassmeier
Michael Stroh,UNM,Stroh
Sophia Sulis,,Sulis
Hyun-il Sung,Korea Astronomy and Space Science Institute,Sung
Genaro Suárez,"UNAM, México",Suárez
Andrew Szentgyorgyi,CfA,Szentgyorgyi
Hugo Tabernero,Universidad de Alicante,Tabernero
Patrick Tamburo,Boston University,Tamburo
Jing Tang,NAOC,Tang
Megan Tannock,University of Western Ontario,Tannock
Ryan Terrien,Carleton College,Terrien
Paola Testa,Harvard-Smithsonian Center for Astrophysics,Testa
Thanawuth Thanathibodee,University of Michigan,Thanathibodee
Chris Theissen,UC San Diego,Theissen
Frederic Thévenin,Université de la Côte d'Azur,Thévenin
Dennis Tilipman,"University of Colorado, Boulder",Tilipman
Chris Tinney,UNSW Sydney,Tinney
Alan Title,LMATC,Title
Ben Tofflemire,University of Texas at Austin,Tofflemire
Lauren Flor Torres,Universidad de Guanajuato,Torres
Regner Trampedach,"Space Science Institute, Boulder",Trampedach
Sam Turnpenney,University of Leicester,Turnpenney
Han Uitenbroek,National Solar Obs.,Uitenbroek
Yvonne Unruh,Imperial College London,Unruh
Anastasiia Uvarova,MIT,Uvarova
Jeff Valenti,STScI,Valenti
Adriana Valio,CRAAM - Mackenzie University,Valio
Antonella Vallenari,INAF-Astronomical Observatory of Padova,Vallenari
Jessica Valverde,MIT/Las Positas College,Valverde
Laura D. Vega,Vanderbilt University & NASA GSFC,Vega
Eduardo Velloso,UFRN,Velloso
Mark Veyette,Boston University,Veyette
Aline Vidotto,Trinity College Dublin,Vidotto
Jackie Villadsen,National Radio Astronomy Observatory,Villadsen
Alexa Villaume,UC Santa Cruz,Villaume
Johanna Vos,University of Edinburgh,Vos
Will Waalkes,"University of Colorado, Boulder",Waalkes
Frederick Walter,Stony Brook University,Walter
Ji Wang,Caltech,Wang
Kimberly Ward-Duong,Amherst College,Ward-Duong
Brad Wargelin,CfA/SAO,Wargelin
Harry Warren,NRL,Warren
Christopher Watson,Queen’s University Belfast,Watson
Maria A. Weber,University of Chicago and Adler Planetarium,Weber
Michael Weber,Leibniz-Institut for Astrophysics Potsdam,Weber
Jörg Weingrill,AIP,Weingrill
Robert Wells,Queen's University Belfast,Wells
John Wendeborn,Boston University,Wendeborn
Kielan Wilcomb,UC San Diego,Wilcomb
Teemu Willamo,University of Helsinki,Willamo
Peter K. G. Williams,Harvard-Smithsonian Center for Astrophysics,Williams
David Wilner,Harvard-Smithsonian CfA,Wilner
David Wilson,University of Texas at Austin,Wilson
Simon Wing,Johns Hopkins University,Wing
Elaine Winston,Harvard Smithsonian CfA,Winston
Jennifer Winters,CfA,Winters
Veronika Witzke,Max Planck Institute for Solar System Research,Witzke
Scott Wolk,Harvard-Smithsonian Center for Astrophysics,Wolk
Nancy RA. Wolk,Smithsonian Astrophysical Observatory,Wolk
Brian Wood,Naval Research Laboratory,Wood
Nick Wright,"Keele University, UK",Wright
Jennifer Yee,Center for Astrophysics,Yee
Allison Youngblood,NASA Goddard,Youngblood
Shelley Zaleski,Univ of Southern Queensland,Zaleski
Joseph Zalesky,Arizona State University,Zalesky
Eleonora Zari,Leiden Observatory,Zari
Li Zeng,Harvard University/Department of Earth  Planetary Sciences,Zeng
Zhoujian (ZJ) Zhang,"IfA, University of Hawaii",Zhang
Zenghua Zhang,"GEPI, Observatoire de Paris",Zhang
Andrew Zic,The University of Sydney,Zic
Catherine Zucker,Harvard-Smithsonian Center for Astrophysics,Zucker
Robin Zuhlke,Montgomery County Community College,Zuhlke
Maruša Žerjal,Australian National University,Z}erjal
Valentin Martinez pillet,NSO,pillet
Ricardo Ramirez reyes,,reyes
